KupacID,Pol,Godine,Kupljeni Artikli,Kategorija,Iznos Kupovine,Tip Dostave,Zanimanje,Pretplata,Sezona,Opština
82,Muško,36,Patike,Odjeća,95,Ekspres,Zdravstvo,Da,,Laktaši
83,Žensko,50,Naočale,Dodaci,82,Sledeći dan,Izvršni direktor,Ne,,Široki Brijeg
84,Žensko,57,Cipele,Spoljašnja odjeća,87,Besplatna dostava,Umjetnik,Ne,,Živinice
85,Žensko,60,Majica,Obuća,26,Ekspres,Ekonomista,Da,Zima,Gradiška
86,Žensko,43,Torba,Dodaci,39,Besplatna dostava,Inženjer,Da,Ljeto,Zenica
87,Muško,21,Šorc,Spoljašnja odjeća,54,Ekspres,Umjetnik,Da,Zima,Prijedor
88,Žensko,19,Patike,Odjeća,91,Ekspres,Nastavnik,Ne,Ljeto,Bijeljina
89,Žensko,32,Šal,Odjeća,96,Ekspres,Nastavnik,Ne,Proljeće,Sanski Most
90,Muško,41,Naočale,Odjeća,64,Besplatna dostava,Ekonomista,Da,Ljeto,Zenica
91,Muško,64,Šal,Odjeća,95,Dvodnevna dostava,Dizajner,Ne,Proljeće,Zenica
92,Žensko,45,Šal,Spoljašnja odjeća,58,Sledeći dan,Doktor,Da,Zima,Banja Luka
93,Žensko,18,Cipele,Dodaci,36,Besplatna dostava,Pravnik,Da,,Tuzla
94,Muško,25,Torba,Spoljašnja odjeća,42,Ekspres,Doktor,Da,Proljeće,Tuzla
95,Muško,24,Majica,Odjeća,79,Ekspres,Nastavnik,Da,,Laktaši
96,Muško,56,Šal,Dodaci,20,Ekspres,Tehničar,Da,Ljeto,Prijedor
97,Žensko,23,Šorc,Dodaci,17,Dvodnevna dostava,Umjetnik,Ne,Jesen,Sarajevo
98,Muško,60,Kaiš,Spoljašnja odjeća,80,Ekspres,Dizajner,Da,Jesen,Sanski Most
99,Muško,31,Cipele,Obuća,73,Dvodnevna dostava,Dizajner,Ne,,Banja Luka
100,Žensko,27,Patike,Spoljašnja odjeća,54,Sledeći dan,Zdravstvo,Ne,,Bihać
101,Žensko,40,Šorc,Spoljašnja odjeća,15,Sledeći dan,Dizajner,Ne,Ljeto,Banja Luka
102,Muško,42,Patike,Dodaci,16,Ekspres,Izvršni direktor,Ne,Jesen,Živinice
103,Muško,55,Torba,Spoljašnja odjeća,19,Besplatna dostava,Umjetnik,Ne,Jesen,Široki Brijeg
104,Žensko,40,Kaput,Odjeća,56,Sledeći dan,Upravitelj,Da,Ljeto,Banja Luka
105,Žensko,31,Farmerke,Spoljašnja odjeća,90,Sledeći dan,Ekonomista,Ne,,Banja Luka
106,Žensko,61,Šal,Spoljašnja odjeća,21,Ekspres,,Ne,Proljeće,Prijedor
107,Žensko,28,Torba,Spoljašnja odjeća,55,Besplatna dostava,Nastavnik,Ne,Jesen,Mostar
108,Muško,53,Kaiš,Dodaci,18,Dvodnevna dostava,Tehničar,Da,Ljeto,Živinice
109,Žensko,36,Majica,Obuća,96,Sledeći dan,Pravnik,Da,Proljeće,Sanski Most
110,Žensko,34,Šorc,Spoljašnja odjeća,12,Besplatna dostava,Zdravstvo,Da,Jesen,Tuzla
111,Žensko,35,Naočale,Spoljašnja odjeća,13,Ekspres,Tehničar,Ne,Jesen,Sarajevo
112,Žensko,23,Kaput,Odjeća,66,Sledeći dan,Doktor,Da,Ljeto,Laktaši
113,Žensko,23,Cipele,Odjeća,40,Dvodnevna dostava,Doktor,Ne,Ljeto,Prijedor
114,Žensko,46,Šorc,Spoljašnja odjeća,63,Besplatna dostava,Umjetnik,Ne,Zima,Živinice
115,Žensko,57,Majica,Dodaci,32,Ekspres,Student,Da,Proljeće,Široki Brijeg
116,Žensko,40,Torba,Odjeća,14,Besplatna dostava,Umjetnik,Ne,,Široki Brijeg
117,Žensko,58,Patike,Spoljašnja odjeća,67,Ekspres,Ekonomista,Ne,Jesen,Bijeljina
118,Žensko,37,Kaiš,Obuća,41,Sledeći dan,Izvršni direktor,Da,Jesen,Gradiška
119,Muško,61,Patike,Dodaci,91,Dvodnevna dostava,Umjetnik,Ne,,Sanski Most
120,Muško,27,Kaiš,Odjeća,97,Sledeći dan,,Da,,Gradiška
121,Žensko,33,Torba,Dodaci,17,Besplatna dostava,Ekonomista,Ne,Proljeće,Sanski Most
122,Žensko,31,Majica,Odjeća,95,Besplatna dostava,Marketing,Ne,Proljeće,Sarajevo
123,Žensko,47,Šorc,Odjeća,100,Sledeći dan,Tehničar,Ne,Zima,Bijeljina
124,Muško,59,Šal,Spoljašnja odjeća,30,Besplatna dostava,Izvršni direktor,Da,,Mostar
125,Žensko,24,Cipele,Odjeća,66,Ekspres,Tehničar,Ne,Ljeto,Bihać
126,Muško,52,Cipele,Dodaci,36,Besplatna dostava,Zdravstvo,Da,Proljeće,Bijeljina
127,Muško,60,Haljina,Dodaci,67,Sledeći dan,,Da,,Mostar
128,Muško,57,Naočale,Spoljašnja odjeća,45,Besplatna dostava,Umjetnik,Ne,Zima,Prijedor
129,Žensko,47,Kaput,Obuća,38,Besplatna dostava,Inženjer,Da,Proljeće,Laktaši
130,Muško,34,Kaiš,Obuća,27,Dvodnevna dostava,,Ne,Zima,Gradiška
131,Muško,21,Šal,Dodaci,10,Besplatna dostava,Ekonomista,Da,Zima,Laktaši
132,Muško,19,Šorc,Obuća,25,Ekspres,Zdravstvo,Ne,Zima,Bijeljina
133,Muško,53,Majica,Obuća,61,Dvodnevna dostava,Nastavnik,Ne,Proljeće,Gradiška
134,Žensko,22,Haljina,Obuća,38,Ekspres,Pravnik,Ne,,Zenica
135,Žensko,58,Torba,Spoljašnja odjeća,59,Ekspres,Dizajner,Ne,Zima,Sanski Most
136,Žensko,52,Kaiš,Dodaci,87,Dvodnevna dostava,Dizajner,Ne,Jesen,Bijeljina
137,Muško,27,Naočale,Spoljašnja odjeća,69,Sledeći dan,Dizajner,Ne,,Gradiška
138,Muško,64,Majica,Odjeća,35,Ekspres,,Da,,Sanski Most
139,Muško,50,Šal,Spoljašnja odjeća,75,Sledeći dan,Izvršni direktor,Da,Proljeće,Banja Luka
140,Muško,65,Kaiš,Spoljašnja odjeća,98,Besplatna dostava,Ekonomista,Da,Jesen,Prijedor
141,Žensko,38,Cipele,Dodaci,98,Ekspres,Dizajner,Da,Proljeće,Široki Brijeg
142,Žensko,29,Kaiš,Odjeća,57,Ekspres,Pravnik,Ne,Zima,Živinice
143,Muško,33,Torba,Obuća,83,Dvodnevna dostava,Tehničar,Ne,Ljeto,Banja Luka
144,Muško,24,Naočale,Obuća,80,Ekspres,Umjetnik,Ne,Proljeće,Banja Luka
145,Žensko,58,Kaiš,Spoljašnja odjeća,63,Sledeći dan,Upravitelj,Ne,Ljeto,Široki Brijeg
146,Žensko,38,Majica,Obuća,86,Dvodnevna dostava,,Da,Zima,Široki Brijeg
147,Žensko,51,Naočale,Spoljašnja odjeća,99,Sledeći dan,Zdravstvo,Ne,,Sanski Most
148,Žensko,35,Patike,Spoljašnja odjeća,95,Dvodnevna dostava,Dizajner,Da,Ljeto,Laktaši
149,Žensko,57,Farmerke,Dodaci,63,Besplatna dostava,Student,Ne,Jesen,Prijedor
150,Žensko,19,Majica,Spoljašnja odjeća,39,Besplatna dostava,Izvršni direktor,Da,Zima,Laktaši
151,Žensko,51,Patike,Spoljašnja odjeća,60,Besplatna dostava,Inženjer,Ne,Jesen,Laktaši
152,Žensko,52,Majica,Dodaci,33,Sledeći dan,Inženjer,Da,Proljeće,Prijedor
153,Žensko,26,Šal,Dodaci,89,Dvodnevna dostava,Marketing,Ne,,Zenica
154,Muško,19,Patike,Obuća,14,Ekspres,Zdravstvo,Ne,Proljeće,Gradiška
155,Muško,30,Šal,Odjeća,71,Besplatna dostava,Dizajner,Da,Ljeto,Sanski Most
156,Muško,29,Naočale,Obuća,33,Besplatna dostava,Izvršni direktor,Da,Proljeće,Banja Luka
157,Žensko,40,Torba,Dodaci,16,Ekspres,Izvršni direktor,Da,Proljeće,Široki Brijeg
158,Muško,27,Patike,Odjeća,72,Ekspres,Zdravstvo,Da,Ljeto,Sarajevo
159,Žensko,43,Kaput,Spoljašnja odjeća,13,Sledeći dan,Inženjer,Da,,Banja Luka
160,Žensko,43,Šorc,Dodaci,55,Besplatna dostava,Izvršni direktor,Da,Zima,Živinice
161,Žensko,61,Patike,Odjeća,92,Ekspres,Nastavnik,Da,Zima,Široki Brijeg
162,Muško,50,Farmerke,Obuća,90,Besplatna dostava,Inženjer,Da,,Laktaši
163,Muško,54,Torba,Odjeća,46,Sledeći dan,Nastavnik,Ne,Proljeće,Mostar
164,Žensko,35,Haljina,Dodaci,57,Besplatna dostava,,Ne,Zima,Tuzla
165,Muško,29,Haljina,Obuća,53,Sledeći dan,Student,Da,Ljeto,Laktaši
166,Žensko,18,Naočale,Spoljašnja odjeća,79,Dvodnevna dostava,Umjetnik,Ne,,Bijeljina
167,Muško,64,Kaput,Obuća,75,Sledeći dan,Zdravstvo,Ne,Zima,Gradiška
168,Muško,32,Šal,Spoljašnja odjeća,89,Ekspres,Upravitelj,Da,Proljeće,Tuzla
169,Žensko,47,Cipele,Odjeća,66,Besplatna dostava,Marketing,Da,Ljeto,Gradiška
170,Žensko,65,Kaiš,Spoljašnja odjeća,100,Sledeći dan,,Da,Ljeto,Banja Luka
171,Žensko,47,Kaput,Dodaci,76,Sledeći dan,Nastavnik,Da,,Tuzla
172,Žensko,49,Farmerke,Obuća,61,Besplatna dostava,Inženjer,Da,Jesen,Mostar
173,Žensko,58,Šorc,Spoljašnja odjeća,49,Besplatna dostava,Dizajner,Ne,Zima,Široki Brijeg
174,Žensko,48,Kaiš,Spoljašnja odjeća,92,Dvodnevna dostava,Tehničar,Ne,,Živinice
175,Žensko,51,Kaiš,Obuća,43,Sledeći dan,,Ne,Proljeće,Bijeljina
176,Muško,58,Haljina,Odjeća,24,Dvodnevna dostava,Nastavnik,Ne,,Sanski Most
177,Žensko,36,Cipele,Odjeća,87,Dvodnevna dostava,Izvršni direktor,Ne,Proljeće,Sarajevo
178,Žensko,54,Farmerke,Dodaci,26,Ekspres,Zdravstvo,Ne,Jesen,Banja Luka
179,Muško,65,Šal,Spoljašnja odjeća,62,Dvodnevna dostava,Upravitelj,Da,Jesen,Zenica
180,Žensko,50,Cipele,Spoljašnja odjeća,32,Dvodnevna dostava,Izvršni direktor,Da,,Gradiška
181,Žensko,22,Majica,Obuća,63,Dvodnevna dostava,Zdravstvo,Da,Proljeće,Bijeljina
182,Žensko,19,Haljina,Dodaci,20,Dvodnevna dostava,Upravitelj,Ne,Zima,Laktaši
183,Žensko,29,Kaput,Dodaci,85,Ekspres,Student,Da,Jesen,Laktaši
184,Muško,35,Naočale,Spoljašnja odjeća,36,Sledeći dan,Umjetnik,Da,Zima,Sanski Most
185,Muško,34,Cipele,Spoljašnja odjeća,27,Besplatna dostava,Zdravstvo,Ne,Jesen,Bijeljina
186,Muško,54,Naočale,Odjeća,54,Sledeći dan,Umjetnik,Ne,Jesen,Široki Brijeg
187,Žensko,59,Kaput,Dodaci,20,Ekspres,Umjetnik,Ne,Proljeće,Mostar
188,Muško,48,Kaput,Obuća,23,Besplatna dostava,Izvršni direktor,Ne,Jesen,Sarajevo
189,Žensko,38,Šal,Odjeća,83,Sledeći dan,Doktor,Da,,Laktaši
190,Muško,20,Cipele,Odjeća,61,Dvodnevna dostava,Tehničar,Da,,Prijedor
191,Muško,30,Haljina,Spoljašnja odjeća,71,Dvodnevna dostava,Dizajner,Da,Ljeto,Sarajevo
192,Muško,58,Patike,Spoljašnja odjeća,78,Besplatna dostava,Umjetnik,Da,Zima,Tuzla
193,Muško,47,Patike,Spoljašnja odjeća,34,Ekspres,Inženjer,Da,Ljeto,Mostar
194,Muško,31,Šorc,Odjeća,91,Dvodnevna dostava,Pravnik,Ne,Ljeto,Široki Brijeg
195,Muško,51,Naočale,Spoljašnja odjeća,59,Sledeći dan,Student,Da,,Banja Luka
196,Muško,56,Majica,Odjeća,98,Ekspres,Umjetnik,Da,Proljeće,Prijedor
197,Žensko,47,Patike,Obuća,53,Sledeći dan,Ekonomista,Ne,Zima,Sarajevo
198,Žensko,41,Kaiš,Odjeća,69,Sledeći dan,Nastavnik,Ne,Proljeće,Banja Luka
199,Muško,33,Torba,Odjeća,78,Dvodnevna dostava,Upravitelj,Ne,Proljeće,Sanski Most
200,Žensko,33,Cipele,Obuća,17,Ekspres,Zdravstvo,Ne,Jesen,Široki Brijeg
201,Muško,34,Cipele,Obuća,72,Dvodnevna dostava,Pravnik,Ne,,Tuzla
202,Muško,58,Farmerke,Spoljašnja odjeća,67,Sledeći dan,Umjetnik,Da,,Bihać
203,Žensko,41,Torba,Odjeća,20,Ekspres,Dizajner,Da,Zima,Bihać
204,Muško,30,Torba,Obuća,62,Besplatna dostava,Ekonomista,Da,,Bihać
205,Muško,52,Cipele,Obuća,51,Dvodnevna dostava,Zdravstvo,Ne,Jesen,Gradiška
206,Muško,55,Šorc,Spoljašnja odjeća,23,Ekspres,Izvršni direktor,Da,,Prijedor
207,Žensko,47,Patike,Obuća,12,Ekspres,Marketing,Da,Zima,Sarajevo
208,Muško,64,Haljina,Spoljašnja odjeća,81,Besplatna dostava,Tehničar,Ne,Zima,Zenica
209,Žensko,36,Patike,Spoljašnja odjeća,64,Besplatna dostava,,Da,Zima,Gradiška
210,Muško,28,Patike,Obuća,91,Dvodnevna dostava,Student,Da,Ljeto,Živinice
211,Žensko,31,Kaput,Dodaci,87,Dvodnevna dostava,Izvršni direktor,Ne,Ljeto,Gradiška
212,Muško,63,Haljina,Spoljašnja odjeća,95,Sledeći dan,Izvršni direktor,Ne,Ljeto,Prijedor
213,Žensko,38,Cipele,Dodaci,97,Sledeći dan,Umjetnik,Ne,,Banja Luka
214,Muško,52,Haljina,Spoljašnja odjeća,38,Sledeći dan,Izvršni direktor,Ne,Zima,Laktaši
215,Muško,40,Cipele,Odjeća,66,Dvodnevna dostava,Umjetnik,Ne,Zima,Bijeljina
216,Žensko,59,Patike,Dodaci,72,Sledeći dan,Nastavnik,Da,Zima,Gradiška
217,Muško,39,Torba,Obuća,20,Dvodnevna dostava,Upravitelj,Da,Ljeto,Prijedor
218,Žensko,47,Kaiš,Odjeća,99,Sledeći dan,Tehničar,Da,Zima,Bihać
219,Žensko,34,Naočale,Dodaci,64,Sledeći dan,Zdravstvo,Ne,Ljeto,Široki Brijeg
220,Žensko,59,Kaiš,Dodaci,73,Ekspres,Student,Ne,Zima,Mostar
221,Žensko,33,Haljina,Odjeća,62,Ekspres,Inženjer,Da,Jesen,Bihać
222,Muško,51,Šorc,Spoljašnja odjeća,65,Dvodnevna dostava,Tehničar,Da,,Tuzla
223,Muško,23,Šorc,Dodaci,62,Dvodnevna dostava,Dizajner,Ne,Proljeće,Prijedor
224,Žensko,52,Cipele,Odjeća,10,Sledeći dan,Inženjer,Ne,,Bijeljina
225,Žensko,40,Torba,Obuća,37,Dvodnevna dostava,Upravitelj,Da,Ljeto,Mostar
226,Muško,19,Naočale,Spoljašnja odjeća,20,Sledeći dan,Izvršni direktor,Ne,Proljeće,Široki Brijeg
227,Muško,56,Majica,Dodaci,22,Besplatna dostava,Izvršni direktor,Da,Ljeto,Široki Brijeg
228,Muško,21,Kaiš,Spoljašnja odjeća,31,Dvodnevna dostava,Umjetnik,Ne,Zima,Gradiška
229,Žensko,44,Kaput,Spoljašnja odjeća,18,Besplatna dostava,Inženjer,Ne,Zima,Laktaši
230,Muško,48,Patike,Odjeća,42,Ekspres,Student,Da,Zima,Gradiška
231,Muško,51,Torba,Dodaci,62,Ekspres,Pravnik,Ne,Zima,Laktaši
232,Muško,53,Šorc,Obuća,14,Dvodnevna dostava,,Ne,,Sanski Most
233,Žensko,34,Šal,Odjeća,78,Sledeći dan,Doktor,Da,Proljeće,Banja Luka
234,Muško,20,Farmerke,Spoljašnja odjeća,41,Dvodnevna dostava,Dizajner,Da,Ljeto,Sarajevo
235,Muško,62,Torba,Spoljašnja odjeća,95,Ekspres,Umjetnik,Ne,Proljeće,Široki Brijeg
236,Žensko,33,Majica,Odjeća,43,Ekspres,Izvršni direktor,Ne,Jesen,Tuzla
237,Žensko,52,Farmerke,Spoljašnja odjeća,16,Dvodnevna dostava,Upravitelj,Da,Zima,Sarajevo
238,Žensko,32,Naočale,Obuća,55,Sledeći dan,Dizajner,Ne,Jesen,Banja Luka
239,Muško,32,Haljina,Dodaci,70,Sledeći dan,Zdravstvo,Da,Ljeto,Banja Luka
240,Žensko,43,Kaiš,Spoljašnja odjeća,71,Sledeći dan,Izvršni direktor,Ne,Ljeto,Prijedor
241,Žensko,64,Patike,Spoljašnja odjeća,22,Besplatna dostava,Upravitelj,Ne,,Bihać
242,Muško,51,Šal,Odjeća,63,Ekspres,Tehničar,Ne,,Široki Brijeg
243,Muško,23,Kaput,Spoljašnja odjeća,60,Besplatna dostava,,Da,Zima,Banja Luka
244,Žensko,56,Haljina,Odjeća,23,Besplatna dostava,Marketing,Ne,,Široki Brijeg
245,Žensko,63,Cipele,Spoljašnja odjeća,78,Sledeći dan,Dizajner,Ne,Ljeto,Sanski Most
246,Žensko,31,Patike,Obuća,96,Ekspres,Dizajner,Ne,Zima,Bijeljina
247,Žensko,53,Farmerke,Spoljašnja odjeća,99,Besplatna dostava,Nastavnik,Da,Ljeto,Široki Brijeg
248,Žensko,22,Patike,Dodaci,47,Ekspres,Marketing,Da,Proljeće,Sarajevo
249,Muško,28,Naočale,Obuća,100,Sledeći dan,Marketing,Da,,Široki Brijeg
250,Žensko,56,Kaiš,Dodaci,94,Dvodnevna dostava,Dizajner,Ne,Zima,Laktaši
251,Muško,32,Cipele,Obuća,45,Sledeći dan,Nastavnik,Ne,,Tuzla
252,Muško,37,Naočale,Obuća,40,Sledeći dan,Izvršni direktor,Ne,Zima,Zenica
253,Muško,26,Cipele,Odjeća,63,Dvodnevna dostava,Izvršni direktor,Da,Proljeće,Laktaši
254,Muško,39,Šorc,Dodaci,27,Sledeći dan,Doktor,Da,,Prijedor
255,Muško,61,Kaiš,Obuća,84,Besplatna dostava,Pravnik,Ne,,Zenica
256,Žensko,40,Patike,Dodaci,26,Besplatna dostava,Marketing,Da,Zima,Sanski Most
257,Muško,63,Šorc,Obuća,58,Sledeći dan,Tehničar,Da,Jesen,Gradiška
258,Žensko,56,Farmerke,Obuća,26,Ekspres,Pravnik,Ne,Jesen,Sanski Most
259,Muško,51,Naočale,Obuća,26,Ekspres,Nastavnik,Ne,Zima,Tuzla
260,Žensko,30,Šal,Dodaci,26,Sledeći dan,Pravnik,Ne,Jesen,Tuzla
261,Muško,48,Šorc,Odjeća,95,Besplatna dostava,Doktor,Ne,Proljeće,Živinice
262,Žensko,36,Farmerke,Dodaci,10,Dvodnevna dostava,Tehničar,Ne,Jesen,Sanski Most
263,Muško,44,Farmerke,Odjeća,86,Dvodnevna dostava,Inženjer,Da,,Laktaši
264,Žensko,22,Cipele,Odjeća,100,Besplatna dostava,Ekonomista,Ne,Ljeto,Bihać
265,Muško,38,Kaput,Spoljašnja odjeća,53,Besplatna dostava,Tehničar,Da,Zima,Prijedor
266,Muško,54,Kaput,Spoljašnja odjeća,24,Besplatna dostava,Ekonomista,Da,Zima,Gradiška
267,Muško,44,Šal,Dodaci,91,Dvodnevna dostava,Ekonomista,Ne,,Sanski Most
268,Muško,59,Šorc,Spoljašnja odjeća,90,Ekspres,Upravitelj,Ne,,Široki Brijeg
